date,volume,open,high,low,close,quoteVolume,weightedAverage,Average Computing Power
2015/3/30,29.65461869,242.5255,254.3527936,242.5255,254.3527936,0.12121748,244.6397887,3.32E+17
2015/3/31,28.4810826,253.5414,253.7301,242.5255,249.3385297,0.11651188,244.4478846,3.48E+17
2015/4/1,14.48312746,239.8700002,250,239.8700002,249,0.05824355,248.664916,3.26E+17
2015/4/2,62.12227939,245.4758646,255,229,255,0.24776058,250.7351226,3.45E+17
2015/4/3,27.37145069,253.5,255,253.5,255,0.10763314,254.3031886,3.65E+17
2015/4/4,184.2498218,252.5870054,254.4271767,248.9973997,254.4271767,0.7286023,252.881197,3.52E+17
2015/4/5,125.3818785,252.0763447,262.6697711,252.0763447,254.6962218,0.48741272,257.2396521,3.62E+17
2015/4/6,0,254.6962218,254.6962218,254.6962218,254.6962218,0,254.6962218,3.45E+17
2015/4/7,366.910792,253.88325,257.80755,252.102865,253.116,1.43863701,255.0405623,3.51E+17
2015/4/8,396.6649716,251.4816875,268,245.691,248.2870315,1.53986556,257.5971448,3.22E+17
2015/4/9,910.717567,245.559495,269,240.88,269,3.72671881,244.3751765,3.41E+17
2015/4/10,447.0239505,243.555,249.9,99.00000007,236.195,1.91591794,233.3210317,3.36E+17
2015/4/11,2872.855479,233.1575,249.9,230.1,234.8725,12.05794901,238.2540743,3.62E+17
2015/4/12,1952.868382,234.8725,235.735,230.1,232.05,8.32683509,234.5270875,3.43E+17
2015/4/13,91.93343856,232.05,246,230.1,245.9999999,0.38671162,237.7312545,3.29E+17
2015/4/14,373.4008164,234.000076,234.000076,213.7184,219.9092654,1.6495125,226.3704073,3.9E+17
2015/4/15,100.6575802,219.9092654,225.1395,217.6952079,225.1293,0.45677876,220.3639683,3.21E+17
2015/4/16,266.6895991,226.2617486,229.5778981,221.2908071,229.5778981,1.20141162,221.9802062,3.36E+17
2015/4/17,45.82083968,224.7876,226.6235821,222.9346875,223.4880772,0.20537216,223.1112517,3.19E+17
2015/4/18,44.30036632,221.65615,221.65615,221.5,221.5,0.2,221.5018316,3.34E+17
2015/4/19,21.87361402,225.5,225.5,223.5778981,223.5778981,0.09700051,225.4999899,3.53E+17
2015/4/20,13.07389511,223.5778981,229.5051,223.5778981,223.5778981,0.05829992,224.252368,3.5E+17
2015/4/21,31.42439658,223.5778981,233,223.5778981,229.7512,0.13616264,230.785747,3.86E+17
2015/4/22,36.92635588,238.374,238.374,230.5666,230.5666,0.15776037,234.0661085,3.48E+17
2015/4/23,70.24516087,230.5666,238.374,229.6777,231.5542975,0.30440246,230.7641038,3.37E+17
2015/4/24,1.94459737,231.6475,235.4974948,223.5778981,235.0896,0.00845799,229.9124698,2.97E+17
2015/4/25,1.4623462,223.5778981,233.0649,223.5778981,223.5778981,0.00644434,226.9194674,3.51E+17
2015/4/26,555.1272234,223.5778981,223.5778981,206.5643623,212.1681,2.62272233,211.660692,3.62E+17
2015/4/27,390.5506033,219.01,219.01,214.2427,219.01,1.78325767,219.0096304,3.27E+17
2015/4/28,0.05964652,227,227,227,227,0.00026276,227,3.54E+17
2015/4/29,4.99999961,227,227,227,227,0.02202643,227,3.24E+17
2015/4/30,389.7512761,227,255,227,241.997374,1.60274561,243.1772539,3.12E+17
2015/5/1,26.83685811,241.997374,243.432375,233.1665,233.1665,0.11091213,241.9650413,3.39E+17
2015/5/2,3.538395,235,235,235,235,0.015057,235,3.5E+17
2015/5/3,92.86170078,235,239.4042,235,239.4042,0.39136386,237.2771486,3.4E+17
2015/5/4,48.37681151,235.5282913,239.4042,233.9982986,233.9982986,0.20514409,235.8186946,3.25E+17
2015/5/5,1.16104856,233.1763,233.1763,229.6875,231.0154,0.00502193,231.1956884,3.38E+17
2015/5/6,0.26766011,229.7414,240,225,225,0.00114772,233.2102924,3.58E+17
2015/5/7,0.06254532,226,226,225,225,0.0002774,225.4697909,3.69E+17
2015/5/8,29.08440758,240,249.5324,240,249.5324,0.12098257,240.4016346,3.48E+17
2015/5/9,115.3677975,239.806,249.5324,238.5565,238.5565,0.47470879,243.0285682,3.18E+17
2015/5/10,0.464723,246.25,246.25,246.25,246.25,0.0018872,246.25,3.09E+17
2015/5/11,133.687483,225,246.25,225,241.1937,0.5570808,239.9786224,3.43E+17
2015/5/12,5.19530753,239.0711359,244.9044404,239.0711359,244.9044404,0.02154152,241.1764597,3.8E+17
2015/5/13,0.10212799,239.3998876,239.3998876,239.3998876,239.3998876,0.0004266,239.3998876,3.66E+17
2015/5/14,318.9187259,240.7713959,249.5324,236.01,243.2662,1.31297869,242.8971074,3.61E+17
2015/5/15,34.76105879,243.2662,254,237.005,243.3125,0.14235369,244.1879715,3.71E+17
2015/5/16,115.8099581,244,253,243.3125,243.5,0.47456153,244.0357061,3.29E+17
2015/5/17,44.42495523,243.5,250,243.3125,243.3125,0.18244941,243.4919095,3.78E+17
2015/5/18,31.34106169,240.5,245.5,235,242.4242424,0.1288073,243.3174338,3.51E+17
2015/5/19,20339.31807,242.0000002,260,230.5,244,85.65301702,237.4617821,3.41E+17
2015/5/20,21723.6828,240,244,232,232.5202344,89.79940427,241.91344,3.32E+17
2015/5/21,9008.533534,233.1475,233.1475,230.8399977,232.5255,38.74573197,232.5038933,3.75E+17
2015/5/22,69.01840017,232.5255,237.4053942,232.5255,236.5077501,0.29279121,235.7256564,3.46E+17
2015/5/23,26.57979491,240,242,235.6075675,241.7834325,0.11015718,241.2897182,3.25E+17
2015/5/24,32.50679829,241.95,243,235.6560318,243,0.1346827,241.3583801,3.03E+17
2015/5/25,23.09186949,236.92205,242,234.1586681,234.947125,0.09768836,236.3830194,3.64E+17
2015/5/26,72.35565596,240,241.6212575,234.326575,235.3258538,0.30192259,239.6496929,3.32E+17
2015/5/27,10.55710102,235.6678912,241,235.6678912,239.8186175,0.04425466,238.5534321,3.43E+17
2015/5/28,271.7215425,240,241.7266575,236.913,237.7,1.12910599,240.651936,3.28E+17
2015/5/29,142.4267582,238.51,243,237.344583,237.3546021,0.59893136,237.8014706,3.68E+17
